Mes,Temporada,id_edifici,planta_edifici,id_preu,num_botellas
Gener,2013,LLE,3,4,25
Gener,2013,LLE,4,4,13
Gener,2013,LLE,5,4,2
Febrer,2013,LLE,1,4,8
Febrer,2013,LLE,2,4,58
Febrer,2013,LLE,3,4,33
Febrer,2013,LLE,4,4,8
Febrer,2013,LLE,5,4,3
Març,2013,LLE,1,4,7
Març,2013,LLE,2,4,25
Març,2013,LLE,3,4,14
Març,2013,LLE,4,4,5
Març,2013,LLE,5,4,1
Abril,2013,LLE,1,4,23
Abril,2013,LLE,2,4,1
Abril,2013,LLE,3,4,10
Abril,2013,LLE,4,4,24
Abril,2013,LLE,5,4,2
Maig,2013,LLE,1,4,7
Maig,2013,LLE,2,4,12
Maig,2013,LLE,3,4,7
Maig,2013,LLE,4,4,23
Maig,2013,LLE,5,4,1
Juny,2013,LLE,1,4,7
Juny,2013,LLE,2,4,6
Juny,2013,LLE,3,4,4
Juny,2013,LLE,4,4,14
Juny,2013,LLE,5,4,1
Juliol,2013,LLE,1,4,28
Juliol,2013,LLE,2,4,0
Juliol,2013,LLE,3,4,11
Juliol,2013,LLE,4,4,37
Juliol,2013,LLE,5,4,0
Agost,2013,LLE,1,4,25
Agost,2013,LLE,2,4,9
Agost,2013,LLE,3,4,16
Agost,2013,LLE,4,4,14
Agost,2013,LLE,5,4,0
Septembre,2013,LLE,1,4,43
Septembre,2013,LLE,2,4,9
Septembre,2013,LLE,3,4,13
Septembre,2013,LLE,4,4,27
Septembre,2013,LLE,5,4,1
Octubre,2013,LLE,1,4,49
Octubre,2013,LLE,2,4,4
Octubre,2013,LLE,3,4,13
Octubre,2013,LLE,4,4,12
Octubre,2013,LLE,5,4,5
Novembre,2013,LLE,1,4,17
Novembre,2013,LLE,2,4,0
Novembre,2013,LLE,3,4,20
Novembre,2013,LLE,4,4,6
Novembre,2013,LLE,5,4,12
Decembre,2013,LLE,1,4,13
Decembre,2013,LLE,2,4,12
