Error en la consulta del 2013.
[INFO] Connect to Database established 24/03/2020 03:50:29pm
[INFO] Connect to Database established 24/03/2020 03:50:29pm
[INFO] Connect to Database established 24/03/2020 03:50:33pm
[INFO] Connect to Database established 24/03/2020 03:50:33pm
[INFO] Connect to Database established 24/03/2020 03:50:43pm
[INFO] Connect to Database established 24/03/2020 03:50:43pm
[INFO] Connect to Database established 24/03/2020 03:50:43pm
[INFO] Connect to Database established 24/03/2020 03:50:43pm
[INFO] Connect to Database established 24/03/2020 03:50:45pm
[INFO] Connect to Database established 24/03/2020 03:50:45pm
[INFO] Connect to Database established 24/03/2020 03:50:53pm
[INFO] Connect to Database established 24/03/2020 03:50:53pm
[INFO] Connect to Database established 24/03/2020 03:51:10pm
[INFO] Connect to Database established 24/03/2020 03:51:10pm
[INFO] Connect to Database established 24/03/2020 03:51:15pm
[INFO] Connect to Database established 24/03/2020 03:51:15pm
[INFO] Connect to Database established 24/03/2020 03:52:24pm
[INFO] Connect to Database established 24/03/2020 03:52:24pm
[INFO] Connect to Database established 24/03/2020 03:52:30pm
[INFO] Connect to Database established 24/03/2020 03:52:30pm
[INFO] Connect to Database established 24/03/2020 03:53:11pm
[INFO] Connect to Database established 24/03/2020 03:53:11pm
[INFO] Connect to Database established 24/03/2020 03:53:48pm
[INFO] Connect to Database established 24/03/2020 03:53:48pm
[INFO] Connect to Database established 24/03/2020 03:53:59pm
[INFO] Connect to Database established 24/03/2020 03:53:59pm
[INFO] Connect to Database established 24/03/2020 03:54:04pm
[INFO] Connect to Database established 24/03/2020 03:54:04pm
[INFO] Connect to Database established 24/03/2020 03:54:12pm
[INFO] Connect to Database established 24/03/2020 03:54:12pm
[INFO] Connect to Database established 24/03/2020 03:54:15pm
[INFO] Connect to Database established 24/03/2020 03:54:15pm
[INFO] Connect to Database established 24/03/2020 03:54:22pm
[INFO] Connect to Database established 24/03/2020 03:54:22pm
[INFO] Connect to Database established 24/03/2020 03:54:24pm
[INFO] Connect to Database established 24/03/2020 03:54:24pm
[INFO] Connect to Database established 24/03/2020 03:54:24pm
[INFO] Connect to Database established 24/03/2020 03:54:24pm
[INFO] Connect to Database established 24/03/2020 03:54:30pm
[INFO] Connect to Database established 24/03/2020 03:54:30pm
[INFO] Connect to Database established 24/03/2020 03:54:45pm
[INFO] Connect to Database established 24/03/2020 03:54:45pm
[INFO] Connect to Database established 24/03/2020 03:54:51pm
[INFO] Connect to Database established 24/03/2020 03:54:51pm
[INFO] Connect to Database established 24/03/2020 03:55:06pm
[INFO] Connect to Database established 24/03/2020 03:55:06pm
[INFO] Connect to Database established 24/03/2020 03:55:10pm
[INFO] Connect to Database established 24/03/2020 03:55:10pm
[INFO] Connect to Database established 24/03/2020 03:56:03pm
[INFO] Connect to Database established 24/03/2020 03:56:03pm
[INFO] Connect to Database established 24/03/2020 04:00:44pm
[INFO] Connect to Database established 24/03/2020 04:00:44pm
[INFO] Connect to Database established 24/03/2020 04:09:35pm
[INFO] Connect to Database established 24/03/2020 04:09:35pm
[INFO] Connect to Database established 24/03/2020 04:09:37pm
[INFO] Connect to Database established 24/03/2020 04:09:37pm
[INFO] Connect to Database established 24/03/2020 04:09:43pm
[INFO] Connect to Database established 24/03/2020 04:09:43pm
[INFO] Connect to Database established 24/03/2020 04:10:07pm
[INFO] Connect to Database established 24/03/2020 04:10:07pm
[INFO] Connect to Database established 24/03/2020 04:13:17pm
[INFO] Connect to Database established 24/03/2020 04:13:17pm
[INFO] Connect to Database established 24/03/2020 04:14:34pm
[INFO] Connect to Database established 24/03/2020 04:14:34pm
[INFO] Connect to Database established 24/03/2020 04:14:40pm
[INFO] Connect to Database established 24/03/2020 04:14:40pm
[INFO] Connect to Database established 24/03/2020 04:14:45pm
[INFO] Connect to Database established 24/03/2020 04:14:45pm
[INFO] Connect to Database established 24/03/2020 04:39:16pm
[INFO] Connect to Database established 24/03/2020 04:39:17pm
[INFO] Connect to Database established 24/03/2020 04:39:41pm
[INFO] Connect to Database established 24/03/2020 04:39:46pm
[INFO] Connect to Database established 24/03/2020 04:39:46pm
[INFO] Connect to Database established 24/03/2020 04:39:49pm
[INFO] Connect to Database established 24/03/2020 04:39:49pm
[INFO] Connect to Database established 24/03/2020 04:44:28pm
[INFO] Connect to Database established 24/03/2020 04:44:28pm
[INFO] Connect to Database established 24/03/2020 04:44:30pm
[INFO] Connect to Database established 24/03/2020 04:44:30pm
[INFO] Connect to Database established 24/03/2020 04:44:32pm
[INFO] Connect to Database established 24/03/2020 04:44:32pm
[INFO] Connect to Database established 24/03/2020 04:45:11pm
[INFO] Connect to Database established 24/03/2020 04:45:11pm
[INFO] Connect to Database established 24/03/2020 04:45:16pm
[INFO] Connect to Database established 24/03/2020 04:45:16pm
[INFO] Connect to Database established 24/03/2020 04:47:11pm
