Temporada,Mes,Consum_P1,Consum_P2,Consum_P3,Consum_P4,Consum_P5,Consum_P6,Total Factura
2019,Juny,82750,60658,52785,64252,0,194695,64352.34
2019,Juliol,222909,169841,0,0,0,246462,94284.25
2019,Agost,0,0,0,0,0,587835,63766.2
2019,Septembre,125893,0,0,157971,0,201516,61050.34
2019,Octubre,0,0,0,0,260035,163426,52851.37
2019,Novembre,0,0,76899,154137,0,184756,53497.02
2019,Decembre,83741,132778,0,0,0,185257,57688.41
2020,Gener,98331,155336,0,0,0,182375,61873
2020,Febrer,83825,131935,0,0,0,161760,55206
2020,Març,0,0,73991,145227,0,159891,49773
2020,Abril,0,0,0,0,205172,149740,39389
2020,Maig,0,0,0,0,214829,181692,42746
2020,Juny,78707,59650,50339,63980,0,173768,58281
2020,Juliol,204025,153029,0,0,0,223377,82102.96
2020,Agost,0,0,0,0,0,578678,62425.07
2020,Septembre,0,0,120682,147580,0,177520,45994.25
2020,Octubre,0,0,0,0,227658,168403,38343.91
2020,Novembre,0,0,72538,145064,0,153692,40962
2020,Decembre,92339,142381,0,0,0,176360,49680
2021,Gener,101862,158843,0,0,0,225034,70557
2021,Febrer,102006,159142,0,0,0,201858,46062
2021,Març,0,0,102520,200855,0,235877,55780
2021,Abril,88146,57198,0,0,192781,157357,63331
2021,Maig,0,0,0,0,253788,210490,57062
2021,Juny,0,0,185330,133615,0,199000,81330
2021,Juliol,216693,156597,0,0,0,253254,129207.33
2021,Agost,211537,0,0,154728,0,274527,122777
2021,Septembre,0,0,206636,180393,116304,130168,148354
2021,Octubre,0,0,0,147812,106908,233995,143871
2021,Novembre,0,156218,111283,0,0,214277,142556
2021,Decembre,158574,113605,0,0,0,240368,187359
